bakłażan,papryka,pomidor,,,
fasola krzaczasta,groch zwyczajny,koper włoski,czosnek pospolity,por,cebula
cykoria warzywna,,,,,
cykoria endywia,,,,,
groch zwyczajny,czosnek pospolity,por,fasola tyczkowa,pomidor,
truskawki,,,,,
roszpunka,,,,,
koper włoski,fasola krzaczasta,fasola tyczkowa,pomidor,,
ogórki,rzodkiew,pomidor,,,
ziemniaki,burak czerwony,seler zwyczajny,pomidor,,
czosnek pospolity,fasola krzaczasta,groch zwyczajny,kapusta,fasola tyczkowa,
kapusta,czosnek pospolity,cebula,,,
kalarepa,,,,,
sałata głowiasta,,,,,
por,fasola krzaczasta,groch zwyczajny,burak czerwony,szpinak warzywny,
boćwina,,,,,
marchew,,,,,
papryka,bakłażan,pomidor,,,
pietruszka,sałata głowiasta,,,,
sałata kędzierzawa,,,,,
cykoria liściasta,,,,,
rzodkiewka,ogórki,,,,
burak czerwony,por,,,,
seler zwyczajny,ziemniaki,seler zwyczajny,,,
szpinak warzywny,,,,,
fasola tyczkowa,groch zwyczajny,ogórki,czosnek pospolity,por,cebula
pomidor,bakłażan,groch zwyczajny,ziemniaki,kapusta,kalarepa
cukinia,,,,,
cebula,fasola krzaczasta,kapusta,fasola tyczkowa,,